compound_fraction_number,plate_id,section_id,site,modality_name,col,cell_name,timepoint_id,modality_target,tp_time,plate_name,row,id,cell_code,stack_name,annotation,category,phenotype,uri
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,9a9b0f1e-135c-48ef-9d72-5afb35bd4952,4,WGA,10,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,Chitin,,LDtest-DataGen-24h-2,G,13dec1e2-e1d7-493f-80f1-90ce4acdc02d,BOTRCI,NileRed_WGA_CFW,3,Apical cell wall,ACWapex,file:///images/13dec1e2-e1d7-493f-80f1-90ce4acdc02d.tif
,67c03d72-d8b3-44f4-86d4-cd003905634a,3e73c327-497a-467b-9572-ecee8b18cc20,2,CFW,4,Botrytis cinerea Pers. 1801,b28eb622-09cb-4cb8-9e8d-390ed6ec2604,"Glucans, Chitin",,PolyoxB-Caspo,C,6ec288ea-0755-4eb3-be10-a31a238fdcbe,BOTRCI,WGA_NileRed_CFW,2,Cell wall,CWsepta,file:///images/6ec288ea-0755-4eb3-be10-a31a238fdcbe.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,d3fb9c6e-9e25-43ba-a452-dbb88e94b1b5,7,CFW,12,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,"Glucans, Chitin",,LDtest-DataGen-24h-1,H,a4c64f8d-9b17-442f-95b5-3ec18580c2fd,BOTRCI,NileRed_WGA_CFW,3,Cell wall,CFWbright,file:///images/a4c64f8d-9b17-442f-95b5-3ec18580c2fd.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,d29d8a85-b3a9-4eb5-82cf-165c736bd650,9,CFW,12,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,"Glucans, Chitin",,LDtest-DataGen-24h-1,D,ba1df4af-74ae-4387-b9cb-ab2227a0cd8f,BOTRCI,NileRed_WGA_CFW,2,Cell wall,CWsepta,file:///images/ba1df4af-74ae-4387-b9cb-ab2227a0cd8f.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,fd57e84c-3047-4342-a4f3-88f81b64915c,6,WGA,1,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,Chitin,,Azoxy-Bix-Fluop,H,c3e289ea-4234-493e-8e41-a7fe6b2c5cf3,BOTRCI,NileRed_WGA_CFW,1,Apical cell wall,WGAweak,file:///images/c3e289ea-4234-493e-8e41-a7fe6b2c5cf3.tif
,67c03d72-d8b3-44f4-86d4-cd003905634a,868f820e-4d28-4b22-a877-742ae062aaf6,4,CFW,7,Botrytis cinerea Pers. 1801,b28eb622-09cb-4cb8-9e8d-390ed6ec2604,"Glucans, Chitin",,PolyoxB-Caspo,G,e952b985-b445-4847-a02c-5cb782d643ef,BOTRCI,WGA_NileRed_CFW,2,Cell wall,CWsepta,file:///images/e952b985-b445-4847-a02c-5cb782d643ef.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,c4f8111f-9e92-4e94-8bac-a5c3fbeaa1b9,6,BrightField,10,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,,,LDtest-DataGen-24h-1,G,910dd971-aa62-4715-a4b3-d0491dbe97be,BOTRCI,NileRed_WGA_CFW,3,Morphology,GlucanSynInhib,file:///images/910dd971-aa62-4715-a4b3-d0491dbe97be.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,ba0d5e25-0a08-4d69-8bfe-4841417e9cc5,2,NileRed,8,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,Lipids,,Azoxy-Bix-Fluop,C,6469ed9f-c131-4f00-aa7a-7ac6acae2892,BOTRCI,NileRed_WGA_CFW,1,Lipid,LDblur,file:///images/6469ed9f-c131-4f00-aa7a-7ac6acae2892.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,d3fb9c6e-9e25-43ba-a452-dbb88e94b1b5,9,CFW,1,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,"Glucans, Chitin",,LDtest-DataGen-24h-1,H,51b36b65-15d4-4a41-8e42-c3c7268450a9,BOTRCI,NileRed_WGA_CFW,3,Cell wall,CFWbright,file:///images/51b36b65-15d4-4a41-8e42-c3c7268450a9.tif
NLL9765-4-1,1256a0da-160d-40db-9ad8-576fe0b74ee5,c8fc7e17-7028-4d83-b27a-732e38e5caa7,9,CFW,1,Botrytis cinerea Pers. 1801,64ea1a53-dd08-4817-8607-d56a1c5f8a41,"Glucans, Chitin",00:00:00,LDtest-set1-P3-R1,E,0ec40498-6648-464b-af4c-3383e2653131,BOTRCI,NileRed_WGA_CFW,3,Cell wall,CFWbright,file:///images/0ec40498-6648-464b-af4c-3383e2653131.tif
